                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6041,                  2.839,                 3.6888,                 1.4698,                0.00623,                0.91667,                0.33231,                0.23267,                0.00623,                0.91667,                0.30027,                 0.1736,                 1.1963,                 2.4293,                 3.2007,                 1.0376,             0.00013336,             0.00013336,             0.00013336
                      2,                 1.0482,                 1.4684,                  2.057,                 1.0464,                0.00667,                      1,                0.73527,                 0.5005,                0.00667,                      1,                0.72013,                0.53143,                 1.0947,                 1.8124,                 2.7877,                 1.0361,             0.00028058,             0.00028058,             0.00028058
                      3,                0.86626,                 1.0772,                 1.3759,                0.95841,                 0.0061,                0.91667,                 0.4116,                 0.3241,                 0.0061,                0.91667,                0.61649,                0.37714,                0.93486,                 1.5149,                 2.9388,                 1.0567,             0.00042484,             0.00042484,             0.00042484
                      4,                0.79498,                 1.0274,                 1.1693,                0.96575,                 0.0061,                0.91667,                0.40534,                0.27099,                 0.0061,                0.91667,                0.40934,                 0.3073,                 1.1677,                 1.7861,                 3.1302,                   1.17,             0.00056612,             0.00056612,             0.00056612
                      5,                 0.8267,                 1.0252,                 1.0994,                0.98774,                0.00667,                      1,                  0.263,                0.19015,                0.00612,                0.91667,                0.27073,                0.17974,                 1.0361,                 1.7664,                 3.0543,                 1.2026,             0.00070443,             0.00070443,             0.00070443
                      6,                0.88806,                 1.0318,                 1.0524,                0.97519,                0.00616,                0.91667,                  0.243,                0.12732,                0.00616,                0.91667,                 0.1998,                0.15111,                  1.179,                 2.0265,                 3.0816,                 1.4185,             0.00083978,             0.00083978,             0.00083978
                      7,                0.82633,                 0.9773,                 1.0513,                0.97682,                0.69652,                0.08333,                 0.1036,                0.08241,                0.99652,                0.16667,                0.23549,                0.11714,                 1.1688,                 1.5282,                 2.9567,                 1.4003,             0.00097215,             0.00097215,             0.00097215
                      8,                 0.7844,                0.92869,                0.95768,                0.96864,                0.39652,                   0.25,                0.30658,                 0.1383,                0.39652,                   0.25,                0.32571,                0.20683,                 1.3004,                 1.2992,                 2.8593,                 1.4876,              0.0011015,              0.0011015,              0.0011015
                      9,                0.78657,                0.85032,                0.98826,                0.96152,                0.75619,                0.57718,                0.68316,                  0.443,                0.75013,                0.59548,                 0.8443,                0.58449,                 1.1187,                 1.4696,                 2.4059,                 1.2513,               0.001228,               0.001228,               0.001228
                     10,                0.75795,                0.81275,                0.88281,                0.95589,                0.76201,                0.74999,                0.76819,                0.48618,                0.80511,                0.81364,                0.85672,                0.61557,                 1.3441,                 1.4673,                 2.1728,                 1.3163,              0.0013514,              0.0013514,              0.0013514
                     11,                0.72198,                0.79423,                  0.859,                0.93713,                      1,                0.79052,                0.90074,                0.64142,                      1,                0.79052,                0.91136,                0.71955,                 1.0121,                 1.2672,                 1.8113,                 1.0848,              0.0014719,              0.0014719,              0.0014719
                     12,                0.75047,                0.70067,                0.81117,                 0.9387,                0.93636,                   0.75,                 0.9494,                0.69165,                0.90255,                0.89587,                0.96357,                 0.7496,                0.96275,                 1.4284,                 1.3832,                 1.1259,              0.0014855,              0.0014855,              0.0014855
                     13,                0.70196,                0.81149,                0.81839,                0.93359,                0.86971,                 0.8825,                0.97143,                0.75589,                0.86971,                 0.8825,                0.97143,                0.73099,                0.91966,                 1.3021,                 1.2183,                  1.099,               0.001469,               0.001469,               0.001469
                     14,                0.73927,                0.74408,                0.81372,                0.94684,                0.94425,                0.97901,                  0.995,                0.76223,                0.94425,                0.97901,                  0.995,                0.71107,                  0.909,                 1.8745,                0.91989,                 1.0933,              0.0014525,              0.0014525,              0.0014525
